district,name,id
1,Gary VanDeaver,Q18630923
2,Bryan Slaton,Q102027445
3,Cecil Bell Jr.,Q16194430
4,Keith Bell,Q60736832
5,Cole Hefner,Q28137188
6,Matt Schaefer,Q16216069
7,Jay Dean,Q28204482
8,Cody Harris,Q61761679
9,Chris Paddie,Q16215040
10,Brian Harrison,Q91856579
11,Travis Clardy,Q16194480
12,Kyle Kacal,Q16205641
13,Ben Leman,Q62081676
14,John N. Raney,Q16116477
15,Steve Toth,Q16193904
16,Will Metcalf,Q18630862
17,John Cyrier,Q105657358
18,Ernest Bailes,Q28314487
19,James White,Q6145421
20,Terry Wilson,Q28421988
21,Dade Phelan,Q18630886
22,Joe Deshotel,Q16148412
23,Mayes Middleton,Q79585969
24,Greg Bonnen,Q16196379
25,Cody Vasut,Q105076855
26,Jacey Jetton,Q105410582
27,Ron Reynolds,Q18630894
28,Gary Gates,Q83933437
29,Ed Thompson,Q107616167
30,Geanie Morrison,Q16145565
31,Ryan Guillen,Q7384107
32,Todd Ames Hunter,Q7812245
33,Justin Holland,Q28421987
34,Abel Herrero,Q16205383
35,Oscar Longoria,Q16731610
36,Sergio Muñoz,Q16733005
37,Alex Dominguez,Q84196020
38,Eddie Lucio III,Q5336252
39,Armando Martinez,Q16732068
40,Terry Canales,Q16218399
41,Robert Guerra,Q28069583
42,Richard Raymond,Q7328610
43,J. M. Lozano,Q16221037
44,John Kuempel,Q105320151
45,Erin Zwiener,Q58494748
46,Sheryl Cole,Q84202665
47,Vikki Goodwin,Q88693641
48,Donna Howard,Q5296366
49,Gina Hinojosa,Q28314533
50,Celia Israel,Q16730078
51,Eddie Rodriguez,Q16213733
52,James Talarico,Q100742942
53,Andrew Murr,Q18630753
54,Brad Buckley,Q86259391
55,Hugh Shine,Q28420153
56,Charles Anderson,Q5075116
57,Trent Ashby,Q16149153
58,DeWayne Burns,Q18630748
59,Shelby Slawson,Q101048006
60,Glenn Rogers,Q105085431
61,Phil King,Q7182085
62,Reggie Smith,Q80386812
63,Tan Parker,Q7682098
64,Lynn Stucky,Q28370253
65,Michelle Beckley,Q64010060
66,Matt Shaheen,Q18630904
67,Jeff Leach,Q16221860
68,David Spiller,Q106945709
69,James Frank,Q16196941
70,Scott Sanford,Q16195314
71,Stan Lambert,Q28314515
72,Drew Darby,Q16114453
73,Kyle Biedermann,Q24284048
74,Eddie Morales,Q105203959
75,Mary González,Q6779652
76,Claudia Ordaz Perez,Q105090898
77,Evelina Ortega,Q28420152
78,Joe Moody,Q16732801
79,Art Fierro,Q79686165
80,Tracy King,Q7831775
81,Brooks Landgraf,Q16731214
82,Tom Craddick,Q7815444
83,Dustin Burrows,Q18630788
84,John Frullo,Q89290225
85,Phil Stephenson,Q16107144
86,John T. Smithee,Q6260110
87,Four Price,Q5475443
88,Ken King,Q6387951
89,Candy Noble,Q61993395
90,Ramon Romero Jr.,Q28086347
91,Stephanie Klick,Q16187156
92,Jeff Cason,Q106716123
93,Matt Krause,Q16221007
94,Tony Tinderholt,Q18738637
95,Nicole Collier,Q16728145
96,David Cook,Q106521637
97,Craig Goldman,Q16199453
98,Giovanni Capriglione,Q16214362
99,Charlie Geren,Q16136108
100,Jasmine Crockett,Q101428652
101,Chris Turner,Q17099547
102,Ana-Maria Ramos,Q99869264
103,Rafael Anchia,Q7282021
104,Jessica González,Q84459974
105,Terry Meza,Q98156958
106,Jared Patterson,Q88385976
107,Victoria Neave,Q28204567
108,Morgan Meyer,Q18630864
109,Carl Sherman,Q96735472
110,Toni Rose,Q28094414
111,Yvonne Davis,Q8062437
112,Angie Chen Button,Q16186167
113,Rhetta Bowers,Q91351094
114,John Turner,Q60734920
115,Julie Johnson,Q64753063
116,Trey Martinez Fischer,Q7839605
117,Philip Cortez,Q16217238
118,John Lujan,Q23073600
119,Elizabeth Campos,Q106811985
120,Barbara Gervin-Hawkins,Q28228796
121,Steve Allison,Q80281918
122,Lyle Larson,Q16193205
123,Diego Bernal,Q28131644
124,Ina Minjarez,Q28137189
125,Ray Lopez,Q100178804
126,Sam Harless,Q79593762
127,Dan Huberty,Q16199607
128,Briscoe Cain,Q28314483
129,Dennis Paul,Q18630880
130,Tom Oliverson,Q28228777
131,Alma Allen,Q20675849
132,Mike Schofield,Q108235595
133,Jim Murphy,Q16189412
134,Ann Johnson,Q101168868
135,Jon Rosenthal,Q66309757
136,John Bucy III,Q64853230
137,Gene Wu,Q17091672
138,Lacey Hull,Q106423151
139,Jarvis Johnson,Q6161239
140,Armando Walle,Q4792849
141,Senfronia Thompson,Q7450514
142,Harold Dutton Jr.,Q28151630
143,Ana Hernandez,Q4750367
144,Mary Ann Perez,Q16734396
145,Christina Morales,Q79585993
146,Shawn Thierry,Q28420154
147,Garnet Coleman,Q5523643
148,Penny Morales Shaw,Q105097108
149,Hubert Vo,Q5927657
150,Valoree Swanson,Q28228784
